epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.7694283723831177,0.5140234231948853,0.8410794734954834,0.7028911113739014
1,0.8467137813568115,0.3508400619029999,0.8730634450912476,0.41644105315208435
2,0.8679083585739136,0.3199423849582672,0.8880559802055359,0.31146368384361267
3,0.8792549967765808,0.29657313227653503,0.899550199508667,0.28838080167770386
4,0.8786126971244812,0.2897360026836395,0.8965517282485962,0.26184579730033875
5,0.8828944563865662,0.29490983486175537,0.8970514535903931,0.26235532760620117
6,0.8880325555801392,0.2753172814846039,0.9135432243347168,0.23162437975406647
7,0.8818240165710449,0.2855583131313324,0.9005497097969055,0.2556295096874237
8,0.889531135559082,0.2755403220653534,0.8905547261238098,0.30592578649520874
9,0.8955255746841431,0.267956405878067,0.908545732498169,0.24124452471733093
10,0.8923142552375793,0.2623578608036041,0.9030484557151794,0.2385043352842331
11,0.893812894821167,0.2641420066356659,0.9120439887046814,0.23528508841991425
12,0.9017341136932373,0.25068387389183044,0.8905547261238098,0.24514997005462646
13,0.8944551348686218,0.2532352805137634,0.8950524926185608,0.24497298896312714
14,0.8940269947052002,0.25764042139053345,0.9150424599647522,0.22541937232017517
15,0.8916720151901245,0.24892768263816833,0.910544753074646,0.23175889253616333
16,0.8948833346366882,0.258129358291626,0.9120439887046814,0.23191790282726288
17,0.8957396745681763,0.2576945424079895,0.9185407161712646,0.21691517531871796
18,0.9000214338302612,0.25040754675865173,0.9020490050315857,0.2380829006433487
19,0.8983086943626404,0.24476754665374756,0.9150424599647522,0.22847038507461548
20,0.8899593353271484,0.25382018089294434,0.9165417551994324,0.22860153019428253
21,0.8942410349845886,0.2449183613061905,0.9120439887046814,0.21852341294288635
22,0.894669234752655,0.25031012296676636,0.9035482406616211,0.25836125016212463
23,0.904945433139801,0.24460391700267792,0.9125437140464783,0.22343097627162933
24,0.8935987949371338,0.250431090593338,0.9080459475517273,0.22007080912590027
25,0.9040890336036682,0.2459365576505661,0.8905547261238098,0.2546655237674713
26,0.8957396745681763,0.2495807409286499,0.8970514535903931,0.2710864245891571
27,0.9017341136932373,0.2476206123828888,0.9175412058830261,0.2317703813314438
28,0.8948833346366882,0.25992003083229065,0.9165417551994324,0.23052507638931274
29,0.8970242142677307,0.24792169034481049,0.8925537467002869,0.2514098286628723
30,0.8983086943626404,0.2496892213821411,0.9090454578399658,0.24523650109767914
31,0.9047313332557678,0.23715436458587646,0.9195402264595032,0.20731458067893982
32,0.9058017730712891,0.24450011551380157,0.9225387573242188,0.21971528232097626
33,0.8993791341781616,0.2424338161945343,0.9130434989929199,0.22403888404369354
34,0.9032326936721802,0.23974499106407166,0.9155422449111938,0.22416286170482635
35,0.9058017730712891,0.24166524410247803,0.9205397367477417,0.21373997628688812
36,0.904945433139801,0.23693165183067322,0.9215392470359802,0.21919700503349304
37,0.8976664543151855,0.24671436846256256,0.9005497097969055,0.2543056309223175
38,0.9010918140411377,0.24327437579631805,0.9140429496765137,0.21460244059562683
39,0.9079426527023315,0.22924430668354034,0.9150424599647522,0.22948189079761505
40,0.9062299132347107,0.23729857802391052,0.8975512385368347,0.24877658486366272
41,0.8993791341781616,0.24420787394046783,0.9115442037582397,0.21720221638679504
42,0.9034467935562134,0.2440302073955536,0.9150424599647522,0.23175249993801117
43,0.8995932340621948,0.24545319378376007,0.9010494947433472,0.24850550293922424
44,0.9109398126602173,0.22608420252799988,0.9220389723777771,0.21416635811328888
45,0.9105116724967957,0.23116366565227509,0.9075462222099304,0.22300514578819275
46,0.9060158133506775,0.24160537123680115,0.9100449681282043,0.21914920210838318
47,0.8991650342941284,0.2403482347726822,0.8860569596290588,0.2862740755081177
48,0.9032326936721802,0.24052663147449493,0.9120439887046814,0.21772925555706024
49,0.8983086943626404,0.24007181823253632,0.9005497097969055,0.23112648725509644
50,0.9019482135772705,0.24474434554576874,0.9155422449111938,0.2154315859079361
51,0.9053735733032227,0.237686887383461,0.9165417551994324,0.21617408096790314
52,0.9066581130027771,0.22938501834869385,0.9190405011177063,0.21943536400794983
53,0.9051594734191895,0.23885305225849152,0.9170414805412292,0.2224435806274414
54,0.9043031334877014,0.22634972631931305,0.9125437140464783,0.2157783955335617
55,0.9004495739936829,0.2451733946800232,0.8985507488250732,0.26474520564079285
56,0.9015200138092041,0.23733019828796387,0.910544753074646,0.21885435283184052
